matchId,tournament,date,map,team1,team2,winner,team1_rounds,team2_rounds,team1_first_half,team1_second_half,team2_first_half,team2_second_half,team1_opening_kills,team2_opening_kills,team1_clutches,team2_clutches,team1_most_kills_player,team1_most_kills,team2_most_kills_player,team2_most_kills,team1_most_assists_player,team1_most_assists,team2_most_assists_player,team2_most_assists,team1_most_deaths_player,team1_most_deaths,team2_most_deaths_player,team2_most_deaths,team1_most_damage_per_round_player,team1_most_damage_per_round,team2_most_damage_per_round_player,team2_most_damage_per_round,team2_least_kills_player,team2_least_kills,team1_least_assists_player,team1_least_assists,team2_least_assists_player,team2_least_assists,team1_least_deaths_player,team1_least_deaths,team2_least_deaths_player,team2_least_deaths,team1_least_damage_per_round_player,team1_least_damage_per_round,team2_least_damage_per_round_player,team2_least_damage_per_round,overall_most_kills_player,overall_most_kills,overall_most_kills_team,overall_most_damage_player,overall_most_damage,overall_most_damage_team,overall_most_assists_player,overall_most_assists,overall_most_assists_team,overall_most_awp_kills_player,overall_most_awp_kills,overall_most_awp_kills_team,overall_most_first_kills_player,overall_most_first_kills,overall_most_first_kills_team,overall_best_rating_2.0_player,overall_best_rating_2.0,overall_best_rating_2.0_team
82791,ESEA MDL Season 30 Europe,2019-03-14 09:05,Cache,expert,Vitality,Vitality,14,16,9,5,6,10,12,18,2,2,JDC,27,RpK,24,ScrunK,12,ALEX,9,alexRr,22,NBK-,24,JDC,101.7,NBK-,90.5,ALEX,12,syken,3,RpK,3,Andyy,18,ZywOo,18,Andyy,49.4,ALEX,56.1,JDC,27,expert,JDC,101.7,expert,ScrunK,7,expert,Andyy,7,expert,alexRr,7,expert,alexRr,1.33,expert
82787,ECS Season 7 Europe Pinnacle Cup,2019-03-14 06:00,Cache,Vitality,Epsilon,Vitality,16,5,10,6,5,0,15,6,1,1,ZywOo,22,broky,16,ZywOo,11,Surreal,3,ALEX,11,k1to,19,ZywOo,127.1,broky,69.9,SPELLAN,7,RpK,3,broky,1,apEX,9,CRUC1AL,16,ALEX,61.7,CRUC1AL,46.8,ZywOo,22,Vitality,ZywOo,127.1,Vitality,NBK-,7,Vitality,ZywOo,7,Vitality,ZywOo,6,Vitality,ZywOo,1.89,Vitality
82784,ECS Season 7 Europe Pinnacle Cup,2019-03-14 06:00,Train,Vitality,Epsilon,Epsilon,8,16,7,1,8,8,8,16,0,1,ZywOo,19,CRUC1AL,26,NBK-,7,broky,6,apEX,20,k1to,17,ZywOo,82.2,CRUC1AL,103.2,broky,10,RpK,0,CRUC1AL,2,ALEX,16,CRUC1AL,8,NBK-,48.2,Surreal,51.1,CRUC1AL,26,Epsilon,CRUC1AL,103.2,Epsilon,NBK-,7,Vitality,ZywOo,11,Vitality,k1to,6,Epsilon,CRUC1AL,1.82,Epsilon
82782,ECS Season 7 Europe Pinnacle Cup,2019-03-14 06:00,Nuke,Vitality,Epsilon,Vitality,16,6,9,7,6,0,14,8,0,1,NBK-,20,CRUC1AL,13,ALEX,5,SPELLAN,5,ALEX,14,k1to,21,NBK-,97.5,CRUC1AL,66.8,broky,10,ZywOo,1,CRUC1AL,1,NBK-,9,Surreal,15,apEX,68.9,SPELLAN,54,NBK-,20,Vitality,NBK-,97.5,Vitality,ALEX,5,Vitality,CRUC1AL,12,Epsilon,ALEX,5,Vitality,NBK-,1.65,Vitality
82735,ESEA MDL Season 30 Europe,2019-03-13 09:00,Dust2,Sprout,Vitality,Vitality,3,16,1,2,14,2,6,13,1,5,Spiidi,13,ZywOo,22,mirbit,3,ZywOo,6,denis,18,NBK-,13,syrsoN,76.4,ZywOo,118.1,apEX,10,Spiidi,2,RpK,2,Spiidi,15,ZywOo,6,faveN,44.3,apEX,57.6,ZywOo,22,Vitality,ZywOo,118.1,Vitality,NBK-,4,Vitality,ZywOo,13,Vitality,RpK,4,Vitality,ZywOo,2.04,Vitality
82732,ESEA MDL Season 30 Europe,2019-03-13 08:05,Dust2,Spirit,Vitality,Vitality,5,16,3,2,12,4,9,12,1,3,iDISBALANCE,18,ZywOo,19,somedieyoung,5,ZywOo,9,somedieyoung,16,NBK-,14,iDISBALANCE,76.6,ZywOo,92.1,RpK,12,iDISBALANCE,1,RpK,1,iDISBALANCE,13,ZywOo,10,COLDYY1,56.1,RpK,57.7,ZywOo,19,Vitality,ZywOo,92.1,Vitality,somedieyoung,5,Spirit,ZywOo,9,Vitality,NBK-,3,Vitality,ZywOo,1.57,Vitality
82726,ESEA MDL Season 30 Europe,2019-03-13 07:05,Dust2,Vitality,Epsilon,Vitality,16,10,11,5,4,6,12,14,2,0,ZywOo,24,CRUC1AL,23,ALEX,10,Surreal,5,ALEX,18,k1to,21,ZywOo,100.6,CRUC1AL,96.7,k1to,10,RpK,2,broky,2,ZywOo,14,CRUC1AL,16,apEX,68.3,k1to,49.4,ZywOo,24,Vitality,ZywOo,100.6,Vitality,ALEX,5,Vitality,CRUC1AL,15,Epsilon,ZywOo,6,Vitality,ZywOo,1.69,Vitality
82659,ESEA MDL Season 30 Europe,2019-03-12 10:05,Dust2,Vitality,Unicorns of Love,Vitality,16,4,12,4,3,1,14,6,0,1,ZywOo,24,crisby,17,ZywOo,7,maRky,5,NBK-,12,maRky,19,ZywOo,124.3,crisby,76.4,DeniMM,7,apEX,4,Kirby,0,ZywOo,6,DeniMM,16,NBK-,42.6,DeniMM,40,ZywOo,24,Vitality,ZywOo,124.3,Vitality,ALEX,7,Vitality,ZywOo,10,Vitality,ZywOo,7,Vitality,ZywOo,2.18,Vitality
82655,ESEA MDL Season 30 Europe,2019-03-12 09:05,Mirage,ALTERNATE aTTaX,Vitality,Vitality,11,16,5,6,10,6,17,10,0,2,mantuu,26,ZywOo,27,stfN,8,apEX,6,DuDe,20,ALEX,19,mantuu,94,ZywOo,108.6,ALEX,12,kressy,1,ALEX,2,kressy,15,apEX,13,DuDe,35,ALEX,48,ZywOo,27,Vitality,ZywOo,108.6,Vitality,stfN,8,ALTERNATE aTTaX,slaxz-,13,ALTERNATE aTTaX,slaxz-,9,ALTERNATE aTTaX,ZywOo,1.57,Vitality
82417,ECS Season 7 Europe Pinnacle Cup,2019-03-07 08:00,Overpass,AGO,Vitality,Vitality,6,16,5,1,10,6,8,14,1,4,GruBy,20,NBK-,19,phr,5,ZywOo,10,Furlan,21,ZywOo,17,GruBy,74.1,ZywOo,100,ZywOo,17,GruBy,2,NBK-,6,phr,16,ALEX,10,SZPERO,57.3,RpK,66.3,GruBy,20,AGO,ZywOo,100.0,Vitality,ZywOo,8,Vitality,ZywOo,8,Vitality,NBK-,7,Vitality,NBK-,1.58,Vitality
